^(a[grs]|ins|leis|roimh|thar|[ft]h?ríd|um) an (gc|bhf|ng|m[^h]|bp)	-5.424	-5.549	-9.280
^(faoin|fén|ón|(in)?san?) (gc|bhf|ng|m[^h]|bp)	-6.411	-7.409	-11.355
^chuig an (gc|bhf|ng|m[^h]|bp)	-9.735	-13.892	-14.332
^d[eo]n (gc|bhf|ng|m[^h]|bp)	-10.971	-8.701	-12.541
^(a[grs]|ins|leis|roimh|thar|[ft]h?ríd|um) an (dt|nd)	-10.684	-6.803	-14.938
^(faoin|fén|ón|(in)?san?) (dt|nd)	-12.499	-9.388	-14.938
^d[eo]n (dt|nd)	-16.083	-10.226	-16.730
^(a[grs]|chuig|ins|leis|roimh|thar|[ft]h?ríd|um) an [bcfgmp]h[^f]	-9.215	-9.027	-5.519
^(faoin|fén|ón|sa|(in)?san) [bcgmp]h[^f]	-8.789	-6.573	-6.670
^insa [bcgmp]h[^f]	-16.083	-9.483	-14.938
^acab[ ]	-9.692	-16.665	-14.938
^achair[ ]	-9.659	-12.951	-13.472
^achar[ ]	-9.896	-12.002	-13.686
^aimhreas[ ]	-9.574	-14.873	-14.938
^aireachtáil[ ]	-11.893	-14.873	-16.730
^anachain[ ]	-10.598	-12.475	-16.730
^andiú[ ]	-10.884	-16.665	-16.730
^aonraic[ ]	-10.731	-16.665	-14.332
^arae[ ]	-10.375	-14.873	-16.730
^araile[ ]	-10.884	-14.873	-16.730
^bhfalach[ ]	-10.707	-16.665	-14.332
^bhfataí[ ]	-10.251	-16.665	-16.730
^bhfoisgeacht[ ]	-10.731	-14.267	-16.730
^bhfoigseacht[ ]	-11.287	-16.665	-16.730
^bhíonns[ ]	-11.099	-16.665	-13.472
^brochán[ ]	-12.499	-14.873	-16.730
^caiptín[ ]	-9.366	-14.873	-11.427
^cantal[ ]	-10.755	-16.665	-16.730
^cantalach[ ]	-11.467	-16.665	-16.730
^casaoid[ ]	-10.577	-13.892	-12.021
^casaoideach[ ]	-12.499	-14.873	-16.730
^céard[ ]	-7.201	-13.082	-14.332
^céibh[ ]	-11.972	-13.892	-16.730
^cén chaoi[ ]	-9.896	-14.267	-16.730
^cé'n chaoi[ ]	-9.348	-16.665	-14.938
^'chaon[ ]	-11.419	-16.665	-16.730
^chaon[ ]	-13.038	-14.873	-16.730
^chasaoid[ ]	-11.752	-13.892	-13.147
^chasaoideach[ ]	-16.083	-16.665	-14.938
